R;		Complexity;		$\sigma$;		$\ell$;		$\omega_1$;		$\omega_2$;		$nu_1$;		$nu_2$;		$\ell_1$;		$\ell_2$;		$\pi_1$;		$\pi_2$;		$tau$
0.240000000000;	0.079053021587;	 0.078249473635;	 0.160630515935;	 0.000560014625;	 0.038144567688;	 0.000043460862;	 0.199406969603;	 0.026272341740;	 0.082379715499;	 0.012178798731;	 0.024035375562;	 0.219908285709
0.250000000000;	0.081288538290;	 0.080764821329;	 0.169234975273;	 0.000000090962;	 0.040466282733;	 0.000000000000;	 0.194108158527;	 0.028241198788;	 0.088470016136;	 0.013040232695;	 0.025710485604;	 0.214501744860
0.260000000000;	0.083519604422;	 0.082601705131;	 0.176710750154;	 0.000343773418;	 0.042427977239;	 0.000006711041;	 0.188293807605;	 0.030010929542;	 0.094108934260;	 0.013810081144;	 0.027204598497;	 0.209225655861
0.270000000000;	0.085634097034;	 0.085003669864;	 0.184996192722;	 0.000000068707;	 0.044778460161;	 0.000000000000;	 0.183335535381;	 0.032017532977;	 0.099992515716;	 0.014676474602;	 0.028882210134;	 0.204073163060
0.280000000000;	0.087713434076;	 0.087047510599;	 0.192899771662;	 0.000026369848;	 0.046991143859;	 0.000001554136;	 0.178244942493;	 0.033971455417;	 0.105851866111;	 0.015521002350;	 0.030516874928;	 0.199038041039
0.290000000000;	0.089729043275;	 0.089013604482;	 0.200986372776;	 0.000000007881;	 0.049255950747;	 0.000000000000;	 0.173210007460;	 0.036023511282;	 0.111972698591;	 0.016401762151;	 0.032217711390;	 0.194114617051
0.300000000000;	0.091683399289;	 0.090920160528;	 0.209074765435;	 0.000002540583;	 0.051554022729;	 0.000000000000;	 0.168341249858;	 0.038147607035;	 0.118154614375;	 0.017302190569;	 0.033949883217;	 0.189297705371
0.310000000000;	0.093575430208;	 0.092765179958;	 0.217234705292;	 0.000000049863;	 0.053895642846;	 0.000000000000;	 0.163596681287;	 0.040364978910;	 0.124469504687;	 0.018230250963;	 0.035727852625;	 0.184582551418
0.320000000000;	0.095405433507;	 0.094556833072;	 0.225443166928;	 0.000000008839;	 0.056281436885;	 0.000000000000;	 0.158996185721;	 0.042592143015;	 0.130886315475;	 0.019176915107;	 0.037547646571;	 0.179964783911
0.330000000000;	0.097173204698;	 0.096141226913;	 0.233135613679;	 0.000361588874;	 0.058551405803;	 0.000020227315;	 0.154435835701;	 0.044815842755;	 0.136994336062;	 0.020092702576;	 0.039291377716;	 0.175440373705
0.340000000000;	0.098864144341;	 0.093666725135;	 0.218046454146;	 0.014143402121;	 0.055333696864;	 0.000777633102;	 0.149983142698;	 0.041168050947;	 0.124379658667;	 0.018532434990;	 0.036284621251;	 0.171005598195
0.350000000000;	0.100440717771;	 0.093349131142;	 0.216598121151;	 0.020026355309;	 0.055278313169;	 0.001012731481;	 0.145674374718;	 0.041004309311;	 0.123248912222;	 0.018450659352;	 0.036119429834;	 0.166657010397
0.360000000000;	0.101916480371;	 0.090852406025;	 0.204878418183;	 0.032134589725;	 0.052592655828;	 0.001458815586;	 0.141666308486;	 0.038265881823;	 0.114025969238;	 0.017267667718;	 0.033832427946;	 0.162391411989
0.370000000000;	0.103286046893;	 0.089221676629;	 0.197950902309;	 0.041413690556;	 0.051066355009;	 0.001745647854;	 0.137732309571;	 0.036733778613;	 0.108729005181;	 0.016601138210;	 0.032540552998;	 0.158205829694
0.380000000000;	0.104552464026;	 0.087796331928;	 0.193114799319;	 0.049544425168;	 0.049970790419;	 0.001916956019;	 0.133970295530;	 0.035754438623;	 0.105318441126;	 0.016160362325;	 0.031678367635;	 0.154097494527
0.390000000000;	0.105718365258;	 0.083758971887;	 0.175689305479;	 0.065275861317;	 0.045729275723;	 0.002352823119;	 0.130489358928;	 0.031693749906;	 0.091930169026;	 0.014403984875;	 0.028279846062;	 0.150063823499
0.400000000000;	0.106773057589;	 0.083410497830;	 0.177289654742;	 0.069649916042;	 0.046130889585;	 0.002314477300;	 0.126793982268;	 0.032225515309;	 0.093879176824;	 0.014629955631;	 0.028713937057;	 0.146102403412
0.410000000000;	0.107729442284;	 0.080105795175;	 0.166003232229;	 0.081945496233;	 0.043223805453;	 0.002484922056;	 0.123482949899;	 0.029717747082;	 0.085897399856;	 0.013527625025;	 0.026571146369;	 0.142210976498
0.420000000000;	0.108603618529;	 0.081152291381;	 0.171558092688;	 0.083644799754;	 0.044830927936;	 0.002481476270;	 0.119651034103;	 0.031221642031;	 0.090404173155;	 0.014163209680;	 0.027792606022;	 0.138387427622
0.430000000000;	0.109346137701;	 0.077015957310;	 0.153515102303;	 0.099734461640;	 0.040466761043;	 0.002874445032;	 0.116430844507;	 0.027093936008;	 0.076499057332;	 0.012369761370;	 0.024316580709;	 0.134629772869
0.440000000000;	0.110006315762;	 0.071744567001;	 0.141105283928;	 0.113575076274;	 0.036697984580;	 0.002695719401;	 0.113992153254;	 0.024351961163;	 0.069359795290;	 0.011176028195;	 0.021999816965;	 0.130936149337
0.450000000000;	0.110562748194;	 0.072765092946;	 0.144081504322;	 0.116576699603;	 0.037794790088;	 0.002809760011;	 0.110294149914;	 0.025186693402;	 0.071316296503;	 0.011526177944;	 0.022672204953;	 0.127304805976
0.460000000000;	0.111029815529;	 0.067145999478;	 0.127410788420;	 0.132721617198;	 0.033239141557;	 0.002813574709;	 0.107823960254;	 0.021559271177;	 0.060264776783;	 0.009927474746;	 0.019559619067;	 0.123734095371
0.470000000000;	0.111393109068;	 0.066275677351;	 0.125920002000;	 0.138902171714;	 0.032896750982;	 0.002820568320;	 0.104618048194;	 0.021335929062;	 0.059644311216;	 0.009826933302;	 0.019362199765;	 0.120222466333
0.480000000000;	0.111667300462;	 0.064258653820;	 0.120163677605;	 0.147788812581;	 0.031452260498;	 0.002853417102;	 0.101648105651;	 0.020201195185;	 0.055904964982;	 0.009314163652;	 0.018357294312;	 0.116768457227
0.490000000000;	0.111858690850;	 0.064961551061;	 0.122656119331;	 0.151191154504;	 0.032315390331;	 0.002915935752;	 0.098263715410;	 0.020856437295;	 0.057694594505;	 0.009601081927;	 0.018914503534;	 0.113370689941
0.500000000000;	0.111938453293;	 0.059945851149;	 0.109153401261;	 0.165450384458;	 0.028566955409;	 0.002834508448;	 0.095885168630;	 0.018030310547;	 0.049207523948;	 0.008342074046;	 0.016455663229;	 0.110027864438
0.510000000000;	0.111937976902;	 0.059404868194;	 0.108538948951;	 0.171028091427;	 0.028473253985;	 0.002834508448;	 0.092877594085;	 0.017994771627;	 0.049134065191;	 0.008323860894;	 0.016418489175;	 0.106738753821
