$R$;	  Complexity;	  $\sigma$;	  $\ell$;	  $\omega_1$;	  $\omega_2$;	  $\nu_1$;	  $\nu_2$;	  $\tau$
0.320000000000;	  0.102931460891;	  0.061536856818;	  0.061536856857;	  0.098463143171;	  0.018162121857;	  0.004371131903;	  0.160797744587;	  0.179964783911
0.330000000000;	  0.104424586770;	  0.059569514916;	  0.059569514976;	  0.105430485063;	  0.017503514474;	  0.004203899098;	  0.157064693212;	  0.175440373705
0.340000000000;	  0.105812979110;	  0.060409174381;	  0.060409174591;	  0.109590825496;	  0.017880468131;	  0.004309528514;	  0.152552529030;	  0.171005598195
0.350000000000;	  0.107101637925;	  0.057843609951;	  0.057843610011;	  0.117156390037;	  0.017000242491;	  0.004089980465;	  0.149118844496;	  0.166657010397
0.360000000000;	  0.108291856938;	  0.057263145312;	  0.057263145401;	  0.122736854642;	  0.016852554559;	  0.004060192342;	  0.145170865760;	  0.162391411989
0.370000000000;	  0.109386024174;	  0.055841947017;	  0.055841947048;	  0.129158052966;	  0.016395642858;	  0.003947187817;	  0.141663430170;	  0.158205829694
0.380000000000;	  0.110381803559;	  0.054815476368;	  0.054815476427;	  0.135184523592;	  0.016083973352;	  0.003880810361;	  0.137881891381;	  0.154097494527
0.390000000000;	  0.111283314687;	  0.053749557166;	  0.053749557231;	  0.141250442800;	  0.015757883630;	  0.003806068583;	  0.134294169609;	  0.150063823499
0.400000000000;	  0.112090159348;	  0.051854854296;	  0.051854723743;	  0.148145210979;	  0.015129097143;	  0.003655104251;	  0.131058845246;	  0.146102403412
0.410000000000;	  0.112804033736;	  0.051266620961;	  0.051266620908;	  0.153733379088;	  0.014977633948;	  0.003625659821;	  0.127400082322;	  0.142210976498
0.420000000000;	  0.113438612067;	  0.046792949408;	  0.046792949902;	  0.163207050327;	  0.013422293523;	  0.003252633990;	  0.125004283805;	  0.138387427622
0.430000000000;	  0.113964217589;	  0.047115403829;	  0.047118543748;	  0.167883026212;	  0.013596640674;	  0.003291075377;	  0.121496691504;	  0.134629772869
0.440000000000;	  0.114404203000;	  0.044433886575;	  0.044433887159;	  0.175566113141;	  0.012693921211;	  0.003088033102;	  0.118388999500;	  0.130936149337
0.450000000000;	  0.114744223527;	  0.045638388780;	  0.045638388857;	  0.179361611201;	  0.013181860676;	  0.003207983033;	  0.114517321477;	  0.127304805976
0.460000000000;	  0.115005411345;	  0.043776904499;	  0.043776905059;	  0.186223095213;	  0.012572028245;	  0.003065097629;	  0.111562998283;	  0.123734095371
0.470000000000;	  0.115179202746;	  0.042463343532;	  0.042463344157;	  0.192536656164;	  0.012159717495;	  0.002970131032;	  0.108479452080;	  0.120222466333
0.480000000000;	  0.115266023490;	  0.041149175461;	  0.041149175450;	  0.198850824537;	  0.011747837798;	  0.002873742666;	  0.105491235615;	  0.116768457227
0.490000000000;	  0.115266863869;	  0.039618129636;	  0.039618129500;	  0.205381870415;	  0.011260004504;	  0.002759786901;	  0.102593037517;	  0.113370689941
0.500000000000;	  0.115182402497;	  0.038531646834;	  0.038531647264;	  0.211468352952;	  0.010930002467;	  0.002681346292;	  0.099678463695;	  0.110027864438
0.510000000000;	  0.115013708160;	  0.036715025982;	  0.036715026426;	  0.218284973805;	  0.010344393769;	  0.002543939670;	  0.096960859395;	  0.106738753821
0.520000000000;	  0.114771831214;	  0.038194802295;	  0.038194802666;	  0.221805197511;	  0.010919111216;	  0.002679049651;	  0.093391794303;	  0.103502199863
0.530000000000;	  0.114422351459;	  0.034859225549;	  0.034859225859;	  0.230140774278;	  0.009797524980;	  0.002417231405;	  0.091094794088;	  0.100317108961
0.540000000000;	  0.114005577392;	  0.032174302994;	  0.032174303018;	  0.237825696993;	  0.008917592695;	  0.002210280177;	  0.088748262231;	  0.097182448464
0.550000000000;	  0.113500259462;	  0.031711999966;	  0.031712000381;	  0.243287999828;	  0.008805072426;	  0.002182831507;	  0.085847782188;	  0.094097243346
0.560000000000;	  0.112916164643;	  0.030406769965;	  0.030406770376;	  0.249593229820;	  0.008403770436;	  0.002087785423;	  0.083207339234;	  0.091060573196
0.570000000000;	  0.112249972400;	  0.029551630940;	  0.029551631142;	  0.255448368949;	  0.008156790682;	  0.002028356359;	  0.080500170394;	  0.088071569498
0.580000000000;	  0.111503595578;	  0.028826763123;	  0.028826763285;	  0.261173236796;	  0.007954273619;	  0.001979107697;	  0.077799334316;	  0.085129413171
0.590000000000;	  0.110677283948;	  0.028022927744;	  0.028022926981;	  0.266977072637;	  0.007724868734;	  0.001923360782;	  0.075161184902;	  0.082233332366
0.600000000000;	  0.109767710749;	  0.025813629810;	  0.025813630109;	  0.274186370061;	  0.007021150157;	  0.001757136151;	  0.072915348972;	  0.079382600481
0.610000000000;	  0.108781458333;	  0.024073394197;	  0.024073394625;	  0.280926605610;	  0.006481045653;	  0.001628551673;	  0.070601234967;	  0.076576534404
0.620000000000;	  0.107711278154;	  0.024024066633;	  0.024024066675;	  0.285975933346;	  0.006503434876;	  0.001630850048;	  0.067899637370;	  0.073814492956
0.630000000000;	  0.106564918546;	  0.021937789631;	  0.021937789673;	  0.293062210359;	  0.005852110400;	  0.001476446539;	  0.065724408211;	  0.071095875530
0.640000000000;	  0.105336050671;	  0.022081799262;	  0.022081799185;	  0.297918200765;	  0.005936280591;	  0.001492764909;	  0.063061044410;	  0.068420120924
0.650000000000;	  0.104032081116;	  0.019604781788;	  0.019613304264;	  0.305390956962;	  0.005165861630;	  0.001307855253;	  0.061221701294;	  0.065786706355
0.660000000000;	  0.102641636555;	  0.019414215183;	  0.019413694316;	  0.310586045239;	  0.005134955053;	  0.001300144567;	  0.058517470680;	  0.063195146658
0.670000000000;	  0.101174535903;	  0.018595527047;	  0.018595527053;	  0.316404472969;	  0.004903895710;	  0.001242219317;	  0.056239057862;	  0.060644993674
0.680000000000;	  0.099628966098;	  0.017080772055;	  0.017080771998;	  0.322919227985;	  0.004450340614;	  0.001133025544;	  0.054112031657;	  0.058135835815
0.690000000000;	  0.098001934806;	  0.016559956476;	  0.016559956505;	  0.328440043524;	  0.004315392113;	  0.001097859244;	  0.051805559701;	  0.055667297832
0.700000000000;	  0.096296322587;	  0.015207155192;	  0.015207155196;	  0.334792844806;	  0.003917368599;	  0.001001160118;	  0.049730121741;	  0.053239040777
0.710000000000;	  0.094508931696;	  0.014580464886;	  0.014580464904;	  0.340419535120;	  0.003749218599;	  0.000958191230;	  0.047517976572;	  0.050850762183
0.720000000000;	  0.092641338876;	  0.013785944668;	  0.013785944586;	  0.346214055373;	  0.003528772273;	  0.000903039273;	  0.045371826690;	  0.048502196476
0.730000000000;	  0.090692713306;	  0.012947153044;	  0.012947153027;	  0.352052846957;	  0.003295151297;	  0.000844780584;	  0.043269320374;	  0.046193115638
0.740000000000;	  0.088662379423;	  0.012036083010;	  0.012036082736;	  0.357963917135;	  0.003040135796;	  0.000781295624;	  0.041235126463;	  0.043923330154
0.750000000000;	  0.086550079981;	  0.011043081389;	  0.011043081405;	  0.363956918611;	  0.002761566290;	  0.000712242421;	  0.039252338631;	  0.041692690274
0.760000000000;	  0.084354336616;	  0.010361823668;	  0.010361890724;	  0.369638142812;	  0.002578721906;	  0.000665666774;	  0.037237650824;	  0.039501087638
0.770000000000;	  0.082074933838;	  0.009782496050;	  0.009782496394;	  0.375217503778;	  0.002426857563;	  0.000626427262;	  0.035232627694;	  0.037348457327
0.780000000000;	  0.079711151403;	  0.009062859995;	  0.009062862139;	  0.380937138933;	  0.002233318505;	  0.000577300936;	  0.033305252074;	  0.035234780401
0.790000000000;	  0.077261506361;	  0.008331230121;	  0.008331230077;	  0.386668769901;	  0.002037008949;	  0.000527658979;	  0.031400366765;	  0.033160087025
0.800000000000;	  0.074725116496;	  0.007525415245;	  0.007525415235;	  0.392474584777;	  0.001820034976;	  0.000473122895;	  0.029547891105;	  0.031124460305
0.810000000000;	  0.072100657879;	  0.006810884737;	  0.006810884736;	  0.398189115255;	  0.001631042537;	  0.000425188661;	  0.027714470646;	  0.029128040978
0.820000000000;	  0.069386500320;	  0.006438049409;	  0.006438049416;	  0.403561950579;	  0.001541061460;	  0.000400769752;	  0.025850176702;	  0.027171033169
0.830000000000;	  0.066580957820;	  0.005675930927;	  0.005675926654;	  0.409324071200;	  0.001339965090;	  0.000349915285;	  0.024124153034;	  0.025253711475
0.840000000000;	  0.063682286524;	  0.004982286534;	  0.004982286354;	  0.415017713565;	  0.001160080437;	  0.000304306706;	  0.022383559627;	  0.023376429727
0.850000000000;	  0.060687878794;	  0.004539170285;	  0.004539170251;	  0.420460829732;	  0.001050995319;	  0.000275595483;	  0.020642270896;	  0.021539631930
0.860000000000;	  0.057595681035;	  0.004045376664;	  0.004045348214;	  0.425954637580;	  0.000928285104;	  0.000243662845;	  0.018958640661;	  0.019743866033
0.870000000000;	  0.054402564308;	  0.003555132800;	  0.003555133249;	  0.431444866966;	  0.000807193019;	  0.000212225970;	  0.017306628959;	  0.017989801480
0.880000000000;	  0.051105246442;	  0.003037395299;	  0.003037395356;	  0.436962604672;	  0.000679588673;	  0.000179286764;	  0.015703451547;	  0.016278251891
0.890000000000;	  0.047699822676;	  0.002573792276;	  0.002573792571;	  0.442426207557;	  0.000567466651;	  0.000150148809;	  0.014131018065;	  0.014610204883
0.900000000000;	  0.044181626944;	  0.002193552843;	  0.002193552828;	  0.447806447164;	  0.000477916667;	  0.000126561333;	  0.012585394993;	  0.012986862056
0.910000000000;	  0.040545265918;	  0.001822938838;	  0.001822938791;	  0.453177061185;	  0.000391463825;	  0.000103831115;	  0.011082267483;	  0.011409693920
0.920000000000;	  0.036784112042;	  0.001476169763;	  0.001476164824;	  0.458523832726;	  0.000311766439;	  0.000082850980;	  0.009621784801;	  0.009880517580
0.930000000000;	  0.032890006005;	  0.001166454189;	  0.001166454017;	  0.463833545897;	  0.000241995002;	  0.000064411006;	  0.008201228996;	  0.008401610530
0.940000000000;	  0.028852698232;	  0.000880366513;	  0.000880367656;	  0.469119632905;	  0.000178703069;	  0.000047676711;	  0.006829450254;	  0.006975884933
0.950000000000;	  0.024658789945;	  0.000637298325;	  0.000637289248;	  0.474362706203;	  0.000126353341;	  0.000033761476;	  0.005503939581;	  0.005607170053
0.960000000000;	  0.020290102247;	  0.000423546442;	  0.000423546035;	  0.479576453751;	  0.000081485004;	  0.000021826822;	  0.004234217799;	  0.004300705708
0.970000000000;	  0.015720278193;	  0.000249547986;	  0.000249548153;	  0.484750451920;	  0.000046232707;	  0.000012416029;	  0.003026714524;	  0.003064099916
0.980000000000;	  0.010907082559;	  0.000119272311;	  0.000119270880;	  0.489880728404;	  0.000021028549;	  0.000005657472;	  0.001892630921;	  0.001909508447
0.990000000000;	  0.005768842844;	  0.000033153827;	  0.000033152900;	  0.494966846637;	  0.000005389030;	  0.000001452714;	  0.000855926396;	  0.000860207505
